Protein_id,gene_name,mRNA_ID,b#
YP_003045181.1,ogrK,ECB_01987,b2082
YP_003045208.1,yegR,ECB_02014,b2085
YP_003045209.1,yegS,ECB_02015,b2086
YP_003045211.1,gatD,ECB_02017,b2091
YP_003045213.1,gatB,ECB_02019,b2093
YP_003045214.1,gatA,ECB_02020,b2094
YP_003045217.1,gatY,ECB_02024,b2096
YP_003045218.1,fbaB,ECB_02025,b2097
YP_003045219.1,yegT,ECB_02026,b2098
YP_003045220.1,yegU,ECB_02027,b2099
YP_003045221.1,yegV,ECB_02028,b2100
YP_003045222.1,yegW,ECB_02029,b2101
YP_003045223.1,yegX,ECB_02030,b2102
YP_003045224.1,thiD,ECB_02031,b2103
YP_003045225.1,thiM,ECB_02032,b2104
YP_003045235.1,yehE,ECB_02042,b2112
YP_003045236.1,mrp,ECB_02043,b2113
YP_003045237.1,metG,ECB_02044,b2114
YP_003045239.1,yehI,ECB_02046,b2118
YP_003045241.1,yehL,ECB_02048,b2119
YP_003045242.1,yehM,ECB_02049,b2120
YP_003045243.1,yehP,ECB_02050,b2121
YP_003045245.1,yehR,ECB_02052,b2123
YP_003045246.1,yehS,ECB_02053,b2124
YP_003045247.1,yehT,ECB_02054,b2125
YP_003045248.1,yehU,ECB_02055,b2126
YP_003045249.1,yehV,ECB_02056,b2127
YP_003045251.1,yehW,ECB_02058,b2128
YP_003045252.1,yehX,ECB_02059,b2129
YP_003045253.1,yehY,ECB_02060,b2130
YP_003045254.1,yehZ,ECB_02061,b2131
YP_003045255.1,bglX,ECB_02062,b2132
YP_003045256.1,dld,ECB_02063,b2133
YP_003045257.1,pbpG,ECB_02064,b2134
YP_003045258.1,yohC,ECB_02065,b2135
YP_003045259.1,yohD,ECB_02066,b2136
YP_003045260.1,yohF,ECB_02067,b2137
YP_003045262.1,yohI,ECB_02069,b2140
YP_003045263.1,yohJ,ECB_02070,b2141
YP_003045264.1,yohK,ECB_02071,b2142
YP_003045265.1,cdd,ECB_02072,b2143
YP_003045266.1,sanA,ECB_02073,b2144
YP_003045267.1,yeiS,ECB_02074,b2145
YP_003045268.1,yeiT,ECB_02075,b2146
YP_003045269.1,yeiA,ECB_02076,b2147
YP_003045270.1,mglC,ECB_02077,b2148
YP_003045271.1,mglA,ECB_02078,b2149
YP_003045272.1,mglB,ECB_02079,b2150
YP_003045273.1,galS,ECB_02080,b2151
YP_003045274.1,yeiB,ECB_02081,b2152
YP_003045275.1,folE,ECB_02082,b2153
YP_003045276.1,yeiG,ECB_02083,b2154
YP_003045277.1,cirA,ECB_02084,b2155
YP_003045278.1,lysP,ECB_02085,b2156
YP_003045279.1,yeiE,ECB_02086,b2157
YP_003045280.1,yeiH,ECB_02087,b2158
YP_003045281.1,nfo,ECB_02088,b2159
YP_003045282.1,yeiI,ECB_02089,b2160
YP_003045283.1,yeiJ,ECB_02090,b2161
YP_003045284.1,rihB,ECB_02091,b2162
YP_003045285.1,yeiL,ECB_02092,b2163
YP_003045286.1,yeiM,ECB_02093,b2164
YP_003045287.1,yeiN,ECB_02094,b2165
YP_003045288.1,yeiC,ECB_02095,b2166
YP_003045289.1,fruA,ECB_02096,b2167
YP_003045290.1,fruK,ECB_02097,b2168
YP_003045291.1,fruB,ECB_02098,b2169
YP_003045292.1,setB,ECB_02099,b2170
YP_003045294.1,yeiP,ECB_02101,b2171
YP_003045295.1,yeiQ,ECB_02102,b2172
YP_003045296.1,yeiR,ECB_02103,b2173
YP_003045297.1,yeiU,ECB_02104,b2174
YP_003045299.1,rtn,ECB_02106,b2176
YP_003045300.1,yejA,ECB_02107,b2177
YP_003045301.1,yejB,ECB_02108,b2178
YP_003045302.1,yejE,ECB_02109,b2179
YP_003045303.1,yejF,ECB_02110,b2180
YP_003045304.1,yejG,ECB_02111,b2181
YP_003045305.1,bcr,ECB_02112,b2182
YP_003045306.1,rsuA,ECB_02113,b2183
YP_003045307.1,yejH,ECB_02114,b2184
YP_003045308.1,rplY,ECB_02115,b2185
YP_003045309.1,yejK,ECB_02116,b2186
YP_003045310.1,yejL,ECB_02117,b2187
YP_003045311.1,yejM,ECB_02118,b2188
YP_003045313.1,narP,ECB_02120,b2193
YP_003045314.1,ccmH,ECB_02121,b2194
YP_003045315.1,ccmG,ECB_02122,b2195
YP_003045316.1,ccmF,ECB_02123,b2196
YP_003045317.1,ccmE,ECB_02124,b2197
YP_003045318.1,ccmD,ECB_02125,b2198
YP_003045319.1,ccmC,ECB_02126,b2199
YP_003045320.1,ccmB,ECB_02127,b2200
YP_003045321.1,ccmA,ECB_02128,b2201
YP_003045322.1,napC,ECB_02129,b2202
YP_003045323.1,napB,ECB_02130,b2203
YP_003045324.1,napH,ECB_02131,b2204
YP_003045325.1,napG,ECB_02132,b2205
YP_003045326.1,napA,ECB_02133,b2206
YP_003045327.1,napD,ECB_02134,b2207
YP_003045328.1,napF,ECB_02135,b2208
YP_003045329.1,eco,ECB_02136,b2209
YP_003045330.1,mqo,ECB_02137,b2210
YP_003045331.1,yojI,ECB_02138,b2211
YP_003045332.1,alkB,ECB_02139,b2212
YP_003045333.1,ada,ECB_02140,b2213
YP_003045334.1,yojL,ECB_02141,b2214
YP_003045335.1,ompC,ECB_02142,b2215
YP_003045338.1,rcsC,ECB_02145,b2218
YP_003045339.1,atoS,ECB_02146,b2219
YP_003045340.1,atoC,ECB_02147,b2220
YP_003045341.1,atoD,ECB_02148,b2221
YP_003045342.1,atoA,ECB_02149,b2222
YP_003045343.1,atoE,ECB_02150,b2223
YP_003045344.1,atoB,ECB_02151,b2224
YP_003045345.1,yfaP,ECB_02152,b2225
YP_003045346.1,yfaQ,ECB_02153,b2226
YP_003045348.1,yfaT,ECB_02155,b2229
YP_003045349.1,yfaA,ECB_02156,b2230
YP_003045350.1,gyrA,ECB_02157,b2231
YP_003045351.1,ubiG,ECB_02158,b2232
YP_003045352.1,yfaL,ECB_02159,b2233
YP_003045353.1,nrdA,ECB_02160,b2234
YP_003045354.1,nrdB,ECB_02161,b2235
YP_003045355.1,yfaE,ECB_02162,b2236
YP_003045356.1,inaA,ECB_02163,b2237
YP_003045358.1,glpQ,ECB_02165,b2239
YP_003045359.1,glpT,ECB_02166,b2240
YP_003045360.1,glpA,ECB_02167,b2241
YP_003045361.1,glpB,ECB_02168,b2242
YP_003045362.1,glpC,ECB_02169,b2243
YP_003045363.1,yfaD,ECB_02170,b2244
YP_003045364.1,yfaU,ECB_02171,b2245
YP_003045365.1,yfaV,ECB_02172,b2246
YP_003045366.1,yfaW,ECB_02173,b2247
YP_003045367.1,yfaX,ECB_02174,b2248
YP_003045368.1,yfaY,ECB_02175,b2249
YP_003045369.1,yfaZ,ECB_02176,b2250
YP_003045370.1,yfaO,ECB_02177,b2251
YP_003045371.1,ais,ECB_02178,b2252
YP_003045372.1,yfbE,ECB_02179,b2253
YP_003045373.1,yfbF,ECB_02180,b2254
YP_003045374.1,yfbG,ECB_02181,b2255
YP_003045375.1,yfbH,ECB_02182,b2256
YP_003045376.1,arnT,ECB_02183,b2257
YP_003045378.1,yfbJ,ECB_02185,b2258
YP_003045379.1,pmrD,ECB_02186,b2259
YP_003045380.1,menE,ECB_02187,b2260
YP_003045381.1,menC,ECB_02188,b2261
YP_003045382.1,menB,ECB_02189,b2262
YP_003045383.1,yfbB,ECB_02190,b2263
YP_003045384.1,menD,ECB_02191,b2264
YP_003045385.1,menF,ECB_02192,b2265
YP_003045386.1,elaB,ECB_02193,b2266
YP_003045387.1,elaA,ECB_02194,b2267
YP_003045388.1,elaC,ECB_02195,b2268
YP_003046945.1,rbn,ECB_03771,b2268
YP_003045389.1,elaD,ECB_02196,b2269
YP_003045390.1,yfbM,ECB_02198,b2272
YP_003045393.1,nuoN,ECB_02201,b2276
YP_003045394.1,nuoM,ECB_02202,b2277
YP_003045395.1,nuoL,ECB_02203,b2278
YP_003045396.1,nuoK,ECB_02204,b2279
YP_003045397.1,nuoJ,ECB_02205,b2280
YP_003045398.1,nuoI,ECB_02206,b2281
YP_003045399.1,nuoH,ECB_02207,b2282
YP_003045400.1,nuoG,ECB_02208,b2283
YP_003045401.1,nuoF,ECB_02209,b2284
YP_003045402.1,nuoE,ECB_02210,b2285
YP_003045403.1,nuoC,ECB_02211,b2286
YP_003045404.1,nuoB,ECB_02212,b2287
YP_003045405.1,nuoA,ECB_02213,b2288
YP_003045406.1,lrhA,ECB_02214,b2289
YP_003045407.1,yfbQ,ECB_02215,b2290
YP_003045408.1,yfbR,ECB_02216,b2291
YP_003045409.1,yfbS,ECB_02217,b2292
YP_003045410.1,yfbT,ECB_02218,b2293
YP_003045411.1,yfbU,ECB_02219,b2294
YP_003045412.1,yfbV,ECB_02220,b2295
YP_003045413.1,ackA,ECB_02221,b2296
YP_003045414.1,pta,ECB_02222,b2297
YP_003045415.1,yfcC,ECB_02223,b2298
YP_003045416.1,yfcD,ECB_02224,b2299
YP_003045417.1,yfcE,ECB_02225,b2300
YP_003045418.1,yfcF,ECB_02226,b2301
YP_003045419.1,yfcG,ECB_02227,b2302
YP_003045420.1,folX,ECB_02228,b2303
YP_003045421.1,yfcH,ECB_02229,b2304
YP_003045422.1,yfcI,ECB_02230,b2305
YP_003045423.1,hisP,ECB_02231,b2306
YP_003045424.1,hisM,ECB_02232,b2307
YP_003045425.1,hisQ,ECB_02233,b2308
YP_003045426.1,hisJ,ECB_02234,b2309
YP_003045427.1,argT,ECB_02235,b2310
YP_003045428.1,ubiX,ECB_02236,b2311
YP_003045429.1,purF,ECB_02237,b2312
YP_003045430.1,cvpA,ECB_02238,b2313
YP_003045431.1,dedD,ECB_02239,b2314
YP_003045432.1,folC,ECB_02240,b2315
YP_003045433.1,accD,ECB_02241,b2316
YP_003045434.1,dedA,ECB_02242,b2317
YP_003045435.1,truA,ECB_02243,b2318
YP_003045436.1,usg,ECB_02244,b2319
YP_003045437.1,pdxB,ECB_02245,b2320
YP_003045438.1,flk,ECB_02246,b2321
YP_003045439.1,yfcJ,ECB_02247,b2322
YP_003045440.1,fabB,ECB_02248,b2323
YP_003045441.1,mnmC,ECB_02249,b2324
YP_003045442.1,yfcL,ECB_02250,b2325
YP_003045443.1,yfcM,ECB_02251,b2326
YP_003045444.1,yfcA,ECB_02252,b2327
YP_003045445.1,mepA,ECB_02253,b2328
YP_003045446.1,aroC,ECB_02254,b2329
YP_003045447.1,yfcB,ECB_02255,b2330
YP_003045448.1,yfcN,ECB_02256,b2331
YP_003045449.1,yfcO,ECB_02257,b2332
YP_003045450.1,yfcP,ECB_02258,b2333
YP_003045451.1,yfcQ,ECB_02259,b2334
YP_003045452.1,yfcR,ECB_02260,b2335
YP_003045453.1,yfcS,ECB_02261,b2336
YP_003045455.1,yfcV,ECB_02263,b2339
YP_003045456.1,sixA,ECB_02264,b2340
YP_003045457.1,fadJ,ECB_02265,b2341
YP_003045458.1,fadI,ECB_02266,b2342
YP_003045459.1,yfcZ,ECB_02267,b2343
YP_003045460.1,fadL,ECB_02268,b2344
YP_003045463.1,vacJ,ECB_02272,b2346
YP_003045464.1,yfdC,ECB_02273,b2347
YP_003045465.1,dsdC,ECB_02274,b2364
YP_003045466.1,dsdX,ECB_02275,b2365
YP_003045467.1,dsdA,ECB_02276,b2366
YP_003045468.1,emrY,ECB_02277,b2367
YP_003045469.1,emrK,ECB_02278,b2368
YP_003045470.1,evgA,ECB_02279,b2369
YP_003045471.1,evgS,ECB_02280,b2370
YP_003045472.1,yfdE,ECB_02281,b2371
YP_003045473.1,yfdV,ECB_02282,b2372
YP_003045474.1,yfdU,ECB_02283,b2373
YP_003045475.1,yfdW,ECB_02284,b2374
YP_003045476.1,yfdX,ECB_02285,b2375
YP_003045477.1,ypdI,ECB_02286,b2376
YP_003045478.1,yfdY,ECB_02287,b2377
YP_003045479.1,ddg,ECB_02288,b2378
YP_003045480.1,yfdZ,ECB_02289,b2379
YP_003045481.1,ypdA,ECB_02290,b2380
YP_003045482.1,ypdB,ECB_02291,b2381
YP_003045483.1,ypdC,ECB_02292,b2382
YP_003045484.1,ypdD,ECB_02293,b2383
YP_003045485.1,ypdE,ECB_02294,b2384
YP_003045486.1,ypdF,ECB_02295,b2385
YP_003045487.1,ypdG,ECB_02296,b2386
YP_003045488.1,ypdH,ECB_02297,b2387
YP_003045489.1,glk,ECB_02298,b2388
YP_003045490.1,yfeO,ECB_02299,b2389
YP_003045491.1,ypeC,ECB_02300,b2390
YP_003045492.1,mntH,ECB_02301,b2392
YP_003045493.1,nupC,ECB_02302,b2393
YP_003045494.1,yfeA,ECB_02303,b2395
YP_003045495.1,yfeC,ECB_02304,b2398
YP_003045496.1,yfeD,ECB_02305,b2399
YP_003045497.1,gltX,ECB_02306,b2400
YP_003045499.1,yfeR,ECB_02308,b2409
YP_003045500.1,yfeH,ECB_02309,b2410
YP_003045502.1,ligA,ECB_02311,b2411
YP_003045503.1,zipA,ECB_02312,b2412
YP_003045504.1,cysZ,ECB_02313,b2413
YP_003045505.1,cysK,ECB_02314,b2414
YP_003045506.1,ptsH,ECB_02315,b2415
YP_003045507.1,ptsI,ECB_02316,b2416
YP_003045508.1,crr,ECB_02317,b2417
YP_003045509.1,pdxK,ECB_02318,b2418
YP_003045510.1,yfeK,ECB_02319,b2419
YP_003045511.1,yfeS,ECB_02320,b2420
YP_003045512.1,cysM,ECB_02321,b2421
YP_003045513.1,cysA,ECB_02322,b2422
YP_003045514.1,cysW,ECB_02323,b2423
YP_003045515.1,cysU,ECB_02324,b2424
YP_003045516.1,cysP,ECB_02325,b2425
YP_003045517.1,ucpA,ECB_02326,b2426
YP_003045518.1,yfeT,ECB_02327,b2427
YP_003045519.1,murQ,ECB_02328,b2428
YP_003045520.1,murP,ECB_02329,b2429
YP_003045521.1,yfeW,ECB_02330,b2430
YP_003045522.1,yfeX,ECB_02331,b2431
YP_003045523.1,yfeY,ECB_02332,b2432
YP_003045524.1,yfeZ,ECB_02333,b2433
YP_003045525.1,ypeA,ECB_02334,b2434
YP_003045526.1,amiA,ECB_02335,b2435
YP_003045527.1,hemF,ECB_02336,b2436
YP_003045528.1,yfeG,ECB_02337,b2437
YP_003045529.1,yffI,ECB_02338,b2438
YP_003045530.1,eutL,ECB_02339,b2439
YP_003045531.1,eutC,ECB_02340,b2440
YP_003045532.1,eutB,ECB_02341,b2441
YP_003045533.1,eutA,ECB_02342,b2451
YP_003045534.1,eutH,ECB_02343,b2452
YP_003045535.1,eutG,ECB_02344,b2453
YP_003045536.1,eutJ,ECB_02345,b2454
YP_003045537.1,eutE,ECB_02346,b2455
YP_003045538.1,cchB,ECB_02347,b2456
YP_003045539.1,cchA,ECB_02348,b2457
YP_003045540.1,eutD,ECB_02349,b2458
YP_003045541.1,eutT,ECB_02350,b2459
YP_003045542.1,eutQ,ECB_02351,b2460
YP_003045543.1,eutP,ECB_02352,b2461
YP_003045544.1,ypfE,ECB_02353,b2462
YP_003045545.1,maeB,ECB_02354,b2463
YP_003045546.1,talA,ECB_02355,b2464
YP_003045547.1,tktB,ECB_02356,b2465
YP_003045548.1,ypfG,ECB_02357,b2466
YP_003045549.1,yffH,ECB_02358,b2467
YP_003045550.1,aegA,ECB_02359,b2468
YP_003045551.1,narQ,ECB_02360,b2469
YP_003045552.1,acrD,ECB_02361,b2470
YP_003045553.1,yffB,ECB_02362,b2471
YP_003045554.1,dapE,ECB_02363,b2472
YP_003045556.1,ypfH,ECB_02365,b2473
YP_003045557.1,ypfI,ECB_02366,b2474
YP_003045558.1,ypfJ,ECB_02367,b2475
YP_003045559.1,purC,ECB_02368,b2476
YP_003046726.1,ade,ECB_03549,b2476
YP_003045560.1,nlpB,ECB_02369,b2477
YP_003045561.1,dapA,ECB_02370,b2478
YP_003045562.1,gcvR,ECB_02371,b2479
YP_003045563.1,bcp,ECB_02372,b2480
YP_003045564.1,hyfA,ECB_02373,b2481
YP_003045565.1,hyfB,ECB_02374,b2482
YP_003045566.1,hyfD,ECB_02376,b2484
YP_003045567.1,hyfE,ECB_02377,b2485
YP_003045568.1,hyfF,ECB_02378,b2486
YP_003045569.1,hyfG,ECB_02379,b2487
YP_003045570.1,hyfH,ECB_02380,b2488
YP_003045571.1,hyfI,ECB_02381,b2489
YP_003045572.1,hyfJ,ECB_02382,b2490
YP_003045573.1,hyfR,ECB_02383,b2491
YP_003045574.1,focB,ECB_02384,b2492
YP_003045575.1,perM,ECB_02385,b2493
YP_003045576.1,yfgC,ECB_02386,b2494
YP_003045577.1,yfgD,ECB_02387,b2495
YP_003045578.1,hda,ECB_02388,b2496
YP_003045579.1,uraA,ECB_02389,b2497
YP_003045580.1,upp,ECB_02390,b2498
YP_003045581.1,purM,ECB_02391,b2499
YP_003045582.1,purN,ECB_02392,b2500
YP_003045583.1,ppk,ECB_02393,b2501
YP_003045584.1,ppx,ECB_02394,b2502
YP_003045585.1,yfgF,ECB_02395,b2503
YP_003045586.1,yfgG,ECB_02396,b2504
YP_003045587.1,yfgH,ECB_02397,b2505
YP_003045588.1,yfgI,ECB_02398,b2506
YP_003045589.1,guaA,ECB_02399,b2507
YP_003045590.1,guaB,ECB_02400,b2508
YP_003045591.1,xseA,ECB_02401,b2509
YP_003045592.1,yfgJ,ECB_02402,b2510
YP_003045593.1,engA,ECB_02403,b2511
YP_003045594.1,yfgL,ECB_02404,b2512
YP_003045595.1,yfgM,ECB_02405,b2513
YP_003045596.1,hisS,ECB_02406,b2514
YP_003045597.1,ispG,ECB_02407,b2515
YP_003045598.1,yfgA,ECB_02408,b2516
YP_003045599.1,yfgB,ECB_02409,b2517
YP_003045600.1,ndk,ECB_02410,b2518
YP_003045601.1,pbpC,ECB_02411,b2519
YP_003045602.1,yfhM,ECB_02412,b2520
YP_003045603.1,sseA,ECB_02413,b2521
YP_003045604.1,sseB,ECB_02414,b2522
YP_003045605.1,pepB,ECB_02415,b2523
YP_003045606.1,yfhJ,ECB_02416,b2524
YP_003045607.1,fdx,ECB_02417,b2525
YP_003045608.1,hscA,ECB_02418,b2526
YP_003045609.1,hscB,ECB_02419,b2527
YP_003045610.1,iscA,ECB_02420,b2528
YP_003045611.1,iscU,ECB_02421,b2529
YP_003045612.1,iscS,ECB_02422,b2530
YP_003045613.1,iscR,ECB_02423,b2531
YP_003045614.1,yfhQ,ECB_02424,b2532
YP_003045615.1,suhB,ECB_02425,b2533
YP_003045616.1,yfhR,ECB_02426,b2534
YP_003045617.1,csiE,ECB_02427,b2535
YP_003045618.1,hcaT,ECB_02428,b2536
YP_003045619.1,hcaR,ECB_02429,b2537
YP_003045620.1,hcaE,ECB_02430,b2538
YP_003045621.1,hcaF,ECB_02431,b2539
YP_003045622.1,hcaC,ECB_02432,b2540
YP_003045623.1,hcaB,ECB_02433,b2541
YP_003045624.1,hcaD,ECB_02434,b2542
YP_003045625.1,yphA,ECB_02435,b2543
YP_003045626.1,yphB,ECB_02436,b2544
YP_003045627.1,yphC,ECB_02437,b2545
YP_003045628.1,yphD,ECB_02438,b2546
YP_003045629.1,yphE,ECB_02439,b2547
YP_003045630.1,yphF,ECB_02440,b2548
YP_003045631.1,yphG,ECB_02441,b2549
YP_003045632.1,yphH,ECB_02442,b2550
YP_003045633.1,glyA,ECB_02443,b2551
YP_003045634.1,hmpA,ECB_02444,b2552
YP_003045635.1,glnB,ECB_02445,b2553
YP_003045636.1,yfhA,ECB_02446,b2554
YP_003045637.1,yfhG,ECB_02447,b2555
YP_003045638.1,yfhK,ECB_02448,b2556
YP_003045639.1,purL,ECB_02449,b2557
YP_003045642.1,tadA,ECB_02453,b2559
YP_003045643.1,yfhB,ECB_02454,b2560
YP_003045644.1,yfhH,ECB_02455,b2561
YP_003045645.1,yfhL,ECB_02456,b2562
YP_003045646.1,acpS,ECB_02457,b2563
YP_003045647.1,pdxJ,ECB_02458,b2564
YP_003045648.1,recO,ECB_02459,b2565
YP_003045649.1,era,ECB_02460,b2566
YP_003045650.1,rnc,ECB_02461,b2567
YP_003045651.1,lepB,ECB_02462,b2568
YP_003045652.1,lepA,ECB_02463,b2569
YP_003045653.1,rseC,ECB_02464,b2570
YP_003045654.1,rseB,ECB_02465,b2571
YP_003045655.1,rseA,ECB_02466,b2572
YP_003045656.1,rpoE,ECB_02467,b2573
YP_003045657.1,nadB,ECB_02468,b2574
YP_003045658.1,yfiC,ECB_02469,b2575
YP_003045659.1,srmB,ECB_02470,b2576
YP_003045660.1,yfiE,ECB_02471,b2577
YP_003045661.1,yfiK,ECB_02472,b2578
YP_003045662.1,yfiD,ECB_02473,b2579
YP_003045663.1,ung,ECB_02474,b2580
YP_003045664.1,yfiF,ECB_02475,b2581
YP_003045665.1,trxC,ECB_02476,b2582
YP_003045666.1,yfiP,ECB_02477,b2583
YP_003045667.1,yfiQ,ECB_02478,b2584
YP_003045668.1,pssA,ECB_02479,b2585
YP_003045669.1,yfiM,ECB_02480,b2586
YP_003045670.1,kgtP,ECB_02481,b2587
YP_003045671.1,clpB,ECB_02482,b2592
YP_003045672.1,yfiH,ECB_02483,b2593
YP_003045673.1,rluD,ECB_02484,b2594
YP_003045674.1,yfiO,ECB_02485,b2595
YP_003045675.1,yfiA,ECB_02486,b2597
YP_003045677.1,pheA,ECB_02488,b2599
YP_003045678.1,tyrA,ECB_02489,b2600
YP_003045679.1,aroF,ECB_02490,b2601
YP_003045680.1,yfiL,ECB_02491,b2602
YP_003045681.1,yfiR,ECB_02492,b2603
YP_003045682.1,yfiN,ECB_02493,b2604
YP_003045683.1,yfiB,ECB_02494,b2605
YP_003045684.1,rplS,ECB_02495,b2606
YP_003045685.1,trmD,ECB_02496,b2607
YP_003045686.1,rimM,ECB_02497,b2608
YP_003045687.1,rpsP,ECB_02498,b2609
YP_003045688.1,ffh,ECB_02499,b2610
YP_003045689.1,ypjD,ECB_02500,b2611
YP_003045691.1,grpE,ECB_02502,b2614
YP_003045693.1,recN,ECB_02504,b2616
YP_003045694.1,smpA,ECB_02505,b2617
YP_003045695.1,yfjF,ECB_02506,b2618
YP_003045696.1,yfjG,ECB_02507,b2619
YP_003045697.1,smpB,ECB_02508,b2620
YP_003045704.1,csiD,ECB_02515,b2659
YP_003045705.1,ygaF,ECB_02516,b2660
YP_003045706.1,gabD,ECB_02517,b2661
YP_003045707.1,gabT,ECB_02518,b2662
YP_003045708.1,gabP,ECB_02519,b2663
YP_003045709.1,ygaE,ECB_02520,b2664
YP_003045710.1,ygaU,ECB_02521,b2665
YP_003045711.1,yqaE,ECB_02522,b2666
YP_003045712.1,ygaV,ECB_02523,b2667
YP_003045713.1,ygaP,ECB_02524,b2668
YP_003045714.1,stpA,ECB_02525,b2669
YP_003045715.1,ygaW,ECB_02526,b2670
YP_003045716.1,ygaC,ECB_02527,b2671
YP_003045717.1,ygaM,ECB_02528,b2672
YP_003045718.1,nrdH,ECB_02529,b2673
YP_003045719.1,nrdI,ECB_02530,b2674
YP_003045720.1,nrdE,ECB_02531,b2675
YP_003045721.1,nrdF,ECB_02532,b2676
YP_003045739.1,ygaD,ECB_02550,b2676
YP_003045722.1,proV,ECB_02533,b2677
YP_003045723.1,proW,ECB_02534,b2678
YP_003045724.1,proX,ECB_02535,b2679
YP_003045726.1,ygaZ,ECB_02537,b2682
YP_003045727.1,ygaH,ECB_02538,b2683
YP_003045728.1,emrR,ECB_02539,b2684
YP_003045729.1,emrA,ECB_02540,b2685
YP_003045730.1,emrB,ECB_02541,b2686
YP_003045731.1,ygaG,ECB_02542,b2687
YP_003045732.1,gshA,ECB_02543,b2688
YP_003045733.1,yqaA,ECB_02544,b2689
YP_003045734.1,yqaB,ECB_02545,b2690
YP_003045735.1,csrA,ECB_02546,b2696
YP_003045736.1,alaS,ECB_02547,b2697
YP_003045737.1,recX,ECB_02548,b2698
YP_003045738.1,recA,ECB_02549,b2699
YP_003045740.1,mltB,ECB_02551,b2701
YP_003045741.1,srlA,ECB_02552,b2702
YP_003045742.1,srlE,ECB_02553,b2703
YP_003045743.1,srlB,ECB_02554,b2704
YP_003045744.1,srlD,ECB_02555,b2705
YP_003045745.1,gutM,ECB_02556,b2706
YP_003045746.1,srlR,ECB_02557,b2707
YP_003045747.1,gutQ,ECB_02558,b2708
YP_003045748.1,ygaA,ECB_02559,b2709
YP_003045749.1,norV,ECB_02560,b2710
YP_003045750.1,ygbD,ECB_02561,b2711
YP_003045751.1,hypF,ECB_02562,b2712
YP_003045752.1,hydN,ECB_02563,b2713
YP_003045753.1,ascG,ECB_02564,b2714
YP_003045754.1,ascF,ECB_02565,b2715
YP_003045755.1,ascB,ECB_02566,b2716
YP_003045756.1,hycI,ECB_02567,b2717
YP_003045757.1,hycH,ECB_02568,b2718
YP_003045758.1,hycG,ECB_02569,b2719
YP_003045759.1,hycF,ECB_02570,b2720
YP_003045760.1,hycE,ECB_02571,b2721
YP_003045761.1,hycD,ECB_02572,b2722
YP_003045762.1,hycC,ECB_02573,b2723
YP_003045763.1,hycB,ECB_02574,b2724
YP_003045764.1,hycA,ECB_02575,b2725
YP_003045765.1,hypA,ECB_02576,b2726
YP_003045766.1,hypB,ECB_02577,b2727
YP_003045767.1,hypC,ECB_02578,b2728
YP_003045768.1,hypD,ECB_02579,b2729
YP_003045769.1,hypE,ECB_02580,b2730
YP_003045770.1,fhlA,ECB_02581,b2731
YP_003045771.1,ygbA,ECB_02582,b2732
YP_003045772.1,mutS,ECB_02583,b2733
YP_003045773.1,pphB,ECB_02584,b2734
YP_003045774.1,ygbI,ECB_02585,b2735
YP_003045775.1,ygbJ,ECB_02586,b2736
YP_003045776.1,ygbK,ECB_02587,b2737
YP_003045777.1,ygbL,ECB_02588,b2738
YP_003045778.1,ygbM,ECB_02589,b2739
YP_003045779.1,ygbN,ECB_02590,b2740
YP_003045780.1,rpoS,ECB_02591,b2741
YP_003045781.1,nlpD,ECB_02592,b2742
YP_003045782.1,pcm,ECB_02593,b2743
YP_003045783.1,surE,ECB_02594,b2744
YP_003045784.1,truD,ECB_02595,b2745
YP_003045785.1,ispF,ECB_02596,b2746
YP_003045786.1,ispD,ECB_02597,b2747
YP_003045787.1,ftsB,ECB_02598,b2748
YP_003045788.1,ygbE,ECB_02599,b2749
YP_003045789.1,cysC,ECB_02600,b2750
YP_003045790.1,cysN,ECB_02601,b2751
YP_003045791.1,cysD,ECB_02602,b2752
YP_003045792.1,iap,ECB_02603,b2753
YP_003045793.1,insL-5,ECB_02604,b2754
YP_003045794.1,insK-3,ECB_02605,b2755
YP_003045795.1,insJ-3,ECB_02606,b2756
YP_003045796.1,cysH,ECB_02607,b2762
YP_003045797.1,cysI,ECB_02608,b2763
YP_003045798.1,cysJ,ECB_02609,b2764
YP_003045799.1,ygcM,ECB_02610,b2765
YP_003045800.1,ygcN,ECB_02611,b2766
YP_003045801.1,ygcO,ECB_02612,b2767
YP_003045802.1,ygcP,ECB_02613,b2768
YP_003045803.1,ygcQ,ECB_02614,b2769
YP_003045804.1,ygcR,ECB_02615,b2770
YP_003045805.1,ygcS,ECB_02616,b2771
YP_003045807.1,ygcW,ECB_02618,b2774
YP_003045808.1,yqcE,ECB_02619,b2775
YP_003045809.1,ygcE,ECB_02620,b2776
YP_003045811.1,ygcF,ECB_02622,b2777
YP_003045812.1,ygcG,ECB_02623,b2778
YP_003045813.1,eno,ECB_02624,b2779
YP_003045814.1,pyrG,ECB_02625,b2780
YP_003045815.1,mazG,ECB_02626,b2781
YP_003045816.1,chpA,ECB_02627,b2783
YP_003045817.1,chpR,ECB_02628,b2783
YP_003047386.1,hpaI,ECB_04225,b2783
YP_003045818.1,relA,ECB_02629,b2784
YP_003045819.1,rumA,ECB_02630,b2785
YP_003045820.1,barA,ECB_02631,b2786
YP_003045821.1,gudD,ECB_02632,b2787
YP_003045822.1,gudX,ECB_02633,b2788
YP_003045823.1,gudP,ECB_02634,b2789
